,question
19373,"Which % of popular vote has a Liberal leader of laurier, and a Popular vote larger than 521,041, and Liberal candidates of 213, and Seats in House smaller than 235?"
19374,"How many Liberal candidates have Seats in House smaller than 245, and a Popular vote larger than 350,512, and Seats won smaller than 139, and a Seat Change of +28?"
19375,What is the score during the 2006-2007 year?
19376,Who were the winners in 2010-2011?
19377,What is the score of the match with UTC as the runner-up and Saint-Gaudens Bears as the winners?
19378,Which year had UTC as the runner-up and Saint-Gaudens Bears as the winners?
19379,What is the venue of the match with a score of 33-22?
19380,Who had the highest assists during the game on February 22?
19381,What team did the Heat play against at the TD Waterhouse Centre?
19382,What date was the game against Toronto which had a game number higher than 53?
19383,What is the date of the that was played with the Baltimore Colts at home?
19384,How long did the game go that was played with the Houston Oilers at home?
19385,What was the date of the game that lasted 75:43?
19386,"Who is the away team for the game played on December 24, 1977?"
19387,What was the length of the game where the Baltimore Colts were at home?
19388,What's the number of laps for 16 grids?
19389,Who was the rider for laps less than 23 with grid greater than 21 that had a time of +1 lap?
19390,What's the total grid for someone with a time/retire of +44.831
19391,What's the smallest grid for Time/Retired of +22.687?
19392,"What is the recoupa sudaamericana 1996 result of team flamengo, which did not qualify for the copa conmebol 1996?"
19393,What is the copa libertadores 1996 result of the team with a copa conmebol 1996 result of quarterfinals?
19394,What is the copa libertadores 1996 of team corinthians?
19395,What is the copa conmebol 1996 result of the team with a recopa sudamericana 1996 result of champions?
19396,What is the recoupa sudamericana 1996 of the team with a copa libertadores 1996 result of the round of 16?
19397,What is the recoupa sudamericana 1996 result of team corinthians?
19398,What season has 195 runs as a margin?
19399,What season has 2 as a rank?
19400,What venue has 2 as the rank?
19401,What opponent has 2011/12 as the season?
19402,What is the length of the version from 2003?
19403,Who remixed the version with a length of 4:22?
19404,What is the length of the UK remix version?
19405,What year was the version with a remixes album?
19406,"How many losses did the team, Sturt, have when they had more than 0 wins?"
19407,What is the average number of draws for the team that had more than 0 wins?
19408,What is the least amount of losses for the team that had more than 0 draws during the seasons earlier than 1926?
19409,"What is the highest number of wins for the team, Central District, who had less than 0 draws and took place during a season before 1995?"
19410,What is the average number of wins before the season in 1906 where there were 0 draws?
19411,"Who is the Opposing Pitcher when Team is phillies, Location is pittsburgh, and Inning is 8th?"
19412,"What is the lowest Game where Inning is 6th, and the Opposing Pitcher is cliff curtis?"
19413,"What is was Date that where Triple was smaller than 26, and Game was 25?"
19414,"What's the lowest Votes (SW Eng) with a % (SW Eng) that's larger than 2.1, Votes (Gib) of 1,127, and a Change (SW Eng) that's larger than -3.6?"
19415,"Which Gold is the lowest one that has a Bronze of 14, and a Total larger than 42?"
19416,"Which Bronze is the lowest one that has a Nation of total, and a Gold smaller than 14?"
19417,"How much Total has a Nation of kazakhstan (kaz), and a Gold larger than 0?"
19418,"Which Total is the highest one that has a Rank of 1, and a Gold larger than 11?"
19419,Who finished 3rd in Oslo?
19420,"On November 22, what were the results of the friendly type game?"
19421,"On October 8, what city was the game played?"
19422,"On June 29, who was the opponent?"
19423,What date had an opponent of Sweden and a friendly type game?
19424,What were the results on September 7?
19425,"Which 1990–95 is the highest one that has a State of karnataka, and a 2001–05 smaller than 0.2?"
19426,"Which 1996-00 is the lowest one that has a State of maharashtra, and a 2006–10 smaller than 0.26?"
19427,Which 1990–95 is the average one that has a 2001–05 larger than 0.55?
19428,"Which 1990–95 is the highest one that has a State of assam, and a 1996-00 smaller than 0.02?"
19429,"What is the Winning team on january 28, 2006?"
19430,Which Series has a Winning team of iowa state and a Sport of w basketball?
19431,"Which Series has a Site of ames on september 10, 2005?"
19432,Which Series has a Site of ames and a Sport of w gymnastics?
19433,"WHich port is on march 17, 2006 and has a Winning team of iowa state?"
19434,"Which Site has a Date of march 17, 2006 and an iowa state Winning team?"
19435,"Who was the opponent of the game before week 11 on October 31, 1976?"
19436,What is the highest attendance of the game on week 9?
19437,When is the last episode air date for season 3?
19438,"Which season had its last episode air on March 11, 2001?"
19439,What games have more than 1 draw?
19440,What game is the lowest with 1 draw and less than 7 points?
19441,Manager of art griggs had what lowest year?
19442,"Manager of spencer abbott, and a Year of 1919 involves what playoffs?"
19443,Manager of marty berghammer / nick allen is what year?
19444,Manager of lyman lamb / marty berghammer is in what league?
19445,"Manager of marty berghammer, and a Finish of 1st involved what lowest year?"
19446,"Playoffs of league champs, and a Record of 77-63 is in what league?"
19447,Name the 2005 with 2007 of sf
19448,Name the 2006 with 2008 of 1r and 2004 of 1r
19449,Name the 2011 with 2002 of 1r and 2009 of a
19450,Name the 1999 with 2011 of 2r
19451,Name the 2008 with 1998 of a and 2002 of 1r with 2004 of 2r
19452,Name the 2001 with 2007 of sf
19453,Which AAA class has Fort Bend Dulles as a Class AAAAA?
19454,Which school year was the Class AAA dalhart and the class AAAAA edinburg?
19455,For what Class A is the school year 1987-88?
19456,What is the Class AAAAA when Class AA is Tuscola Jim Ned and Class AAA Snyder?
19457,What is the Class AAAAA when the Class AAA is Gonzales?
19458,Which team scored less than 35 points?
19459,"Which Position has a Team of criciúma, and a Drawn larger than 8?"
19460,"Which Drawn has Points smaller than 46, and a Position smaller than 20, and a Lost smaller than 19, and an Against of 56?"
19461,"Which Played has a Lost larger than 14, and a Drawn of 10, and Points larger than 46?"
19462,What's the name of a Rank 3 with a 1st (m) smaller than 199.5?
19463,What's the Overall WC points (Rank) for Rank 2?
19464,What score has devin brown (24) as the leading scorer?
19465,"Which height, in meters, has 36 floors?"
19466,Which Floors is the highest one that has a Name of one indiana square?
19467,How tall is the Street address of 07.0 200 east washington street?
19468,What was the date of the game where the indians record was 37-44?
19469,What city is Garfield County Museum located in?
19470,Is the Rudyard Depot Museum on the Dinosaur Trail?
19471,What is the name of the museum located in Malta with no associated field digs?
19472,What is the museum name located in Rudyard?
19473,What is the region that the Blaine County Museum is located in?
19474,"What Tournament had a Score of 6–3, 2–6, 6–3?"
19475,"What Partner had a Score of 6–3, 2–6, 6–3?"
19476,Who were the Opponents in the match on a Hard Surface with Catherine Suire as Partner and Outcome of runner-up?
19477,Who was the visiting team when the record was 6–12–5–1?
19478,Who was the home team when the record was 21–45–8–5?
19479,Which of the attributes has is cancelable and an answer of yes for bubbles?
19480,Which bubbles has an atribute of onlostpointercapture?
19481,"For the attribute of onpointerout, what is the cancelable?"
19482,Which bubble have a cancelable of yes and an attribute of onpointerdown?
19483,"What's the highest grid of Ronnie Bremer, who had more than 18 points?"
19484,What are the most points Lap 70 had with a grid larger than 16?
19485,What is the name of the track in Holland?
19486,What is the track in Washington state?
19487,What is the city the track of manzanita speedway is in?
19488,What is the surface of the track at the indianapolis speedrome?
19489,What is the surface for the riverhead raceway?
19490,What city is the indianapolis speedrome in?
19491,What is the IUPAC name for chloroform?
19492,What is the SZDSZ percentage with an MSZP of 25% on 25/2/2009?
19493,What percentage of others have an SZDSZ of 4% and a Fidesz of 60%?
19494,What is the percentage of others with a Fidesz of 62% and a Jobbik of 4%?
19495,On what date do others have 5% with an SZDSZ of 5%?
19496,What is the SZDSZ percentage with a Jobbik of 5% and a Fidesz of 68%?
19497,What is the Jobbik percentage with a Fidesz of 61% and others of 2%?
19498,"What's listed for the Turnout % with a Ngilu of 3,429?"
19499,"What's listed for the Turnout % with a Raila of 519,180?"
19500,"What's listed for the Turnout % with a Ngilu of 30,535?"
19501,"What's listed for the Registered Voters with a Ngilu of 3,429?"
19502,"What is listed for the Province with a Wamalwa of 4,431?"
19503,What's listed for the Wamalwa that has a Turnout % of 55.9%?
19504,What were the average partial failures when the rocket was Ariane 5?
19505,"What are average launches with 0 failures, rocket of Soyuz, and less than 12 successes?"
19506,What is the sum of launches with Long March 3 and 0 failures?
19507,What is the least amount of failures with 1 launch and 0 partial failures?
19508,What were the average launches for Ariane 5 and 0 partial failures?
19509,What was the race of the jockey in na group in 4th place?
19510,How far did p. carbery run to get 2nd?
19511,What is the Removal that has a Trim of xe (2009)?
19512,"What is the Torque that has a Power of hp (kw), and a Trim of xr (2009)? Question 6"
19513,"Which Round is the lowest one that has a College/Junior/Club Team (League) of oshawa generals (oha), and a Player of bob kelly?"
19514,What surface was used when she played with Remi Tezuka?
19515,What Results has the Record of 28-12?
19516,What Results has a Seed #12 and a Year that's smaller than 1996
19517,What's the highest Year with the Record of 18-12?
19518,What's the highest Year with the Region of Southeast?
19519,What Record has a Year that's larger than 2012?
19520,What is the Laker's record when they played against Kansas City Kings?
19521,Name the pronunciation for 傳
19522,Name the pronunciation for meaning of king
19523,Name the word with pronunciation b of *sɨks
19524,"Name the pronunciation for meaning b of border, frontier"
19525,Name the pronunciation b for meaning of grind
19526,What is the 2008 value that was 2nd in 2006?
19527,What is the average total that is 1st in 2010?
19528,What is the 2008 value with a 7 in 2010?
19529,What is the Location for the woodburn dragstrip?
19530,What State has an Opened (closing date if defunct) that shows 1960?
19531,What is the Location for the route 66 raceway?
19532,What is the Location for the newington international airport?
19533,"What is the Name with an Opened (closing date if defunct) of 1995 and has a Length of miles (m), in Illinois?"
19534,What is the Score with an Opponent that is amanda brown brenda remilton?
19535,"What is the Score with an Outcome of runner-up, and a Partner that is elizabeth little?"
19536,"Who was the pitcher on June 8, 1961?"
19537,What team had the record asscoiated with the 9th inning?
19538,In what venue did the Boston Red Sox play in?
19539,Who was the pitcher with the record recorded in the 7th inning?
19540,When David E. Finley was the incumbent what was the result?
19541,When someone was first elected in 1898 what was the result?
19542,What party has an incumbent of Stanyarne Wilson?
19543,"When the incumbent was William Elliott, what was the result?"
19544,What is the 8:00 that has da vinci's inquest as the 9:00?
19545,What 10:00 has party of five as 9:30?
19546,What 9:00 has entertainment tonight as 7:00?
19547,"Score of 2-1, and a Competition of pl, and a Date of december 22, 2006 had what opponents?"
19548,"Date of april 3, 2007 had what score?"
19549,"Competition of pl, and a Score of 1-1, and a Opponents of kelantan had what date?"
19550,"Venue of klfa stadium, cheras, and a Score of 3-3 had what competition?"
19551,"Opponents of police, and a Venue of selayang municipal council stadium had what date?"
19552,Competition of fa cup rd 1 had what venue?
19553,Who was the visiting team on January 27?
19554,What is the home team that played on February 25?
19555,Name the date with chicago visiting
19556,Name the home with chicago visiting
19557,What is the highest number of apps of the player with more than 63 goals and an avge of 0.45?
19558,"What is the total avge of John Hall, who has less than 63 goals?"
19559,When did Kim Thompson win with 278 score?
19560,Where did Steve Gotsche win?
19561,What is the sum of Rank with a build year earlier than 2007 for the howard johnson hotel bucharest?
19562,"What is the Height (m/ft) for bucharest Built in 2009, and a Rank of 13?"
19563,What city is the bucharest tower center (btc) located in?
19564,What is the name of the building in Bucharest with a rank of less than 12?
19565,What city was the building built in 1988?
19566,What is the score of the Boston Bruins game from April 11?
19567,What is the record of the Hartford Whalers home team with the April 13 game date?
19568,What is the score of the visiting Hartford Whalers game from April 11?
19569,Which Passengers have Carriers of air canada?
19570,"Which Metropolitan area has Passengers larger than 130,903, and a Rank of 4?"
19571,Which Metropolitan area has an Airport of toronto pearson international airport?
19572,"What is the link for january 31 – february 3, 2011?"
19573,On what date of polling was the Polling Firm forum research with 7 green and less than 30 liberals?
19574,"Which september 26–28, 2011 polling firm had a Link of html, less than 36 liberals,  and less than 8 green?"
19575,"What june 21–22, 2011 polling has green smaller than 13?"
19576,"What is listed under the Years as tallest, that has Floors of 31?"
19577,"What's the lowest Floors with Feet that's larger htan 262, has a Name of Standard Bank Building, and Metres that's larger htan 138.8?"
19578,What is the sum of Metres wiht a Feet that's smaller than 196?
19579,"What is the lowest week number that there was a game on October 23, 1977 with less than 68,977 people attending?"
19580,What is the highest weight of the position scrum half?
19581,"What is the power of the engine with a torque of n·m (lb·ft) at1,500rpm?"
19582,Which torque value is associated with the 1.3 16V multijet engine?
19583,"What is the lowest against value with less than 2 draws, 10 points, and less than 4 lost?"
19584,What is the average position with an against value less than 11?
19585,What is the largest value for lost with a position greater than 10?
19586,What is the total of all against values for the Corinthians with less than 3 lost?
19587,What is the lowest against value with less than 9 points and more than 6 lost?
19588,What tournament located is mississippi was nov 5
19589,what is the 1st prize for may 21
19590,Who is the director of the game with HIroshi Sato as the producer on the GBA platform?
19591,Who is the director of Last Window: The Secret of Cape West 3?
19592,What is the platform of the 2010 game with Shuichiro Nishiya as director?
19593,Which Opponent is on October of 29?
19594,WHich October has a Record of 1–0–0?
19595,Which Opponent has a October larger than 20 with a Score of 2–2?
19596,"What year was the margin of victory 9 strokes and the purse under $2,750,000?"
19597,What year was the score 269?
19598,What is the average number of points for a team in the 250cc class with fewer than 0 wins?
19599,What is the smallest number of points for a 1981 team?
19600,What is the fewest number of wins for a team ranked 8th with fewer than 32 points in the 350cc class?
19601,What was the rank of the 1983 team in the 250cc class?
19602,Which district has joseph t. johnson as an incumbent?
19603,What was the result for james o'h. patterson when first elected in 1904?
19604,Which party was re-elected in south carolina 5 district?
19605,Which party was joseph t. johnson in?
19606,Which party was first elected in 1898?
19607,Which district won when first elected in 1900?
19608,"How many wins did the player who earned $6,607,562 have?"
19609,What is the average earnings made by Greg Norman?
19610,what city has a game of friendly and an opponent of tunisia?
19611,what are the results of the opponent of spain?
19612,what results are dated december 19?
19613,what city has the results of 4:2?
19614,what type of game has the resuts of 1:0?
19615,"What is the average Games for 1965–1981, and a Ranking larger than 4?"
19616,What is the Years when games shows 550?
19617,What is the Nationality that shows 4 as the ranking?
19618,Which location has a copies per particle of 0 and a protein of nsp3?
19619,How many copies per particle does the protein nsp2 have?
19620,What is the highest RNA segment having a protein of vp2 and a base pair size over 2690?
19621,"What is the number of copies per particle having a nonstructural location, an RNA segment over 5 and a base pair size under 751?"
19622,Who won the bronze medal in Hiroshima?
19623,Who won the silver medal in the games where Hong Chia-yuh took home bronze?
19624,Where did Michael Eric Bibat win bronze?
19625,Who won gold in the games where Pan Cheng-Tsung won silver?
19626,"How many Bronzes that has a Silver of 0, and a Gold of 0, and a Nation of denmark, and a Total larger than 1?"
19627,How many Bronzes that has a Nation of italy?
19628,"How many Silvers that has a Gold smaller than 1, and a Rank of 9, and a Total smaller than 1?"
19629,Which Bronze has a Nation of spain?
19630,Who was the opponent at the competition held at Jeonju?
19631,How many Januarys had records of 22-15-6?
19632,what is the date of barbagallo raceway?
19633,What city is the hidden valley raceway in?
19634,What was the score in game 81?
19635,What was the record after game 79?
19636,Who was the home team on April 15?
19637,What is the Pinyin for 依兰县?
19638,What is the Pinyin for the item that has a density of 77?
19639,What is the population for the area that has a Hanzi of 延寿县?
19640,What is the population as of 11-01-2010 for Bayan County?
19641,What is the Hanzi for píngfáng qū?
19642,Which Slalom has an overall of 25 in the 2009 season?
19643,What is the earliest season with a Giant Slalom of 5?
19644,Which combined score has an overall of 8?
19645,Which Super Ghas a missed season due to injury?
19646,Name the most events with cuts made more than 6 and top 25 more than 30
19647,Name the top-10 with top-5 less than 1
19648,Name the averae top 25 with events less than 0
19649,Name the total number of top 10 with top 25 less than 2 and top 5 more than 0
19650,In what Year is the Gauge 2 ft 6 in?
19651,In what Year is the Works No. 2040-2049?
19652,In what Year is the Works no. 2040-2049?
19653,"What is the Gauge of Builder Beyer, Peacock?"
19654,Which round has the record of 5-0?
19655,Which method has the record of 11-1?
19656,The UFC 44 event has what method?
19657,Which event has 12-1 as a record?
19658,What round was a loss with a record of 12-3?
19659,The record of 11-1 used what method?
19660,"What surface was the match on November 6, 1982 played on?"
19661,What place did russia finish in?
19662,What's the WChmp of the race greater than 42 and pole greater than 11?
19663,"If podiums are 26, what's the lowest WChmp?"
19664,"If the class is total, what is the total number of podiums?"
19665,"During race 14, what's the podiums?"
19666,"What Call sign has a City of license of higgston, ga?"
19667,"What City of license has a ERP W of 2,000?"
19668,"What is the Class where City of license is lake oconee, ga?"
19669,What chassis has 2012 as the year?
19670,"What engine has a start less than 7, and 23 as a finish?"
19671,"What is the average finish that has a start greater than 3, with honda as the engine, and 2011 as the year?"
19672,"How many starts have a year prior to 2012, and team penske as the team, with a finish greater than 27?"
19673,"What start has a year later than 2010, and chip ganassi racing as the team?"
19674,Who was the opponent at the Football League Trophy competition?
19675,What was the opponent at the League Play Offs at home?
19676,What venue held that game against the Queens Park Rangers?
19677,Who was the opponent at the away game with a score of 5-4?
19678,Who was the opponent at the League Cup competition with a score of 3-1?
19679,Name the team classification for stage of 20
19680,Name the winner with mountains classification of franco pellizotti and combativity award of martijn maaskant
19681,Name the general classification with roman kreuziger and points classification of fabian cancellara
19682,Name the combativity award with winner of luis león sánchez
19683,"What is the sum of numbers listed in 18-49 for the episode that aired on June 25, 2009 with an order larger than 29?"
19684,"What is the total 18-49 for the episode that aired on July 2, 2009 with more than 3.5 viewers?"
19685,"What was the timeslot in the US for the episode, ""the farm""?"
19686,What is the average 18-49 for the episode that had an order number higher than 35 and less than 3.5 viewers?
19687,"What is the episode name that aired on July 23, 2009 with more than 3.31 viewers?"
19688,"What year sold 1,695,900+ copies with an Oricon position larger than 1?"
19689,How many copies were sold where the position is lager than 1 in 1988?
19690,"How many copies were sold when the 1st week sales were 4,590+?"
19691,"What was the Winning Score on May 29, 1977?"
19692,On what Date was Patty Sheehan Runner(s)-up?
19693,On what Date was Judy Rankin Runner(s)-up?
19694,On what Date was the Winning score –8 (69-72-70-69=280)?
19695,On what Date was Carole Charbonnier a Runner(s)-up with a 1 stroke Margin of victory?
19696,What Tournament has a Winning score of +3 (71-72-70=213)?
19697,What date did the team play home in Toronto?
19698,How many people attended the game when Larry Hughes(33) was the leading scorer and cleveland was visiting?
19699,When did they play Utah at home?
19700,What opponent has balboa stadium as the opponent?
19701,"What is the highest attendance that has oakland raiders as the opponent, with a week greater than 9?"
19702,Where is the headquarter of the conglomerate industry?
19703,"What date was the game played at the venue of Hrazdan Stadium, Yerevan, Armenia?"
19704,Who was the bronze medal when the Asian Games were held in Busan?
19705,Who won the gold when Kim Hyang-Mi won the bronze?
19706,What was the earliest year that Park Jung-Ah won the gold?
19707,Who won the bronze when the Asian Games were in Doha?
19708,"What was the Attendance on November 29, 1953?"
19709,"After Week 5, what was the Result of the game with Attendance greater than 22,057?"
19710,Which NFL team picked Patrick Collins?
19711,Which NFL team picked a player for the Wide Receiver position?
19712,What result has a year after 2002?
19713,What tournament has a year prior to 2001?
19714,On what date does visiting team Minnesota score higher than 47 points?
19715,What date does visitor team Toronto score less than 49 points and has record of 18-17-7?
19716,What is the fleet number for the model of Gillig Phantom 3096TB?
19717,What is the width for the year of the 1970?
19718,Which year has a fleet number of 603?
19719,What is the length of fleet number 501-506?
19720,What is fleet number for the year of 19xx?
19721,What is the fleet number of Model Orion 01.507?
19722,"What is the highest round of Ed Smith, who had a pick higher than 261 and played halfback?"
19723,"What is the lowest round of Ed Smith, who had a pick lower than 19?"
19724,Which player had a round of 27?
19725,What is the position of the player with a round less than 20 from the school/club Washington?
19726,Location of hemisfair arena had what record?
19727,Record of 20–4 involved what highest game?
19728,Opponent of @ phoenix suns had what sum of game?
19729,Score of 122–105 had what record?
19730,"In the final, who are the opponents of partner Simon Aspelin?"
19731,"For the tournament played on 26 February 2006, what surface was used?"
19732,Which Date has a Record of 58–10?
19733,Which Date has a Score of 106–112?
19734,Who was second when Martynas Norkus was the skip?
19735,Who was the second when Ilian Kirilov was the lead?
19736,Who was the lead when Jamie Meikle was the skip?
19737,Who was the lead when Ritvars Gulbis was the skip?
19738,Who came in third in England?
19739,In what nation did Darko Sovran place third?
19740,"What is the tournament with a w/o score on November 5, 2007?"
19741,What is the surface of eckental tournament with a w/o score?
19742,What is the tournament with a hard surface and Ruben de Kleijn as the opponent?
19743,"What is the score of the tournament on November 5, 2007 with a carpet surface?"
19744,What is the surface of the tournament with Sascha Kloer as the opponent?
19745,what team scored in gomel
19746,What is the average conceded number of the team with a position lower than 8 and more than 2 wins?
19747,"What is the averaged scored number of team guaraní, which has less than 6 draws and less than 5 losses?"
19748,What is the total number scored of the team positioned lower than 10?
19749,"What is the lowest number of wins of the team with less than 24 scored, 27 conceded, and more than 18 played?"
19750,What is the lowest number of points of the team with 2 losses and a lower than 1 position?
19751,What is the Intercontinental Cup 1993 result for a Supercopa Sudamericana 1993 result of round of 16?
19752,"Who received the Loss during the game with an Attendance larger than 50,589 and a Record of 71–57?"
19753,What is the earliest game in November with more than 22 Games and Toronto Maple Leafs as the Opponent?
19754,What is the family friendly status of the punk genre song from the 1970s?
19755,Who is the artist of the rock song?
19756,What is the highest number of bronze medals for nations with under 0 golds?
19757,How many points did Stuart have when he had 0 extra points?
19758,Who had the lowest field goals but had 10 points and more than 2 touchdowns?
19759,How many points did Stuart have when he had less than 1 touchdown?
19760,Who had a points average with 0 extra points and 0 field goals?
19761,What was the result in the Golden Reel Awards?
19762,Record of 16–29 is how many attendance?
19763,Loss of peavy (4–3) is what score?
19764,"Score of 3–2, and a Opponent of reds had what sum of attendance?"
19765,"Score of 6–4, and a Opponent of @ marlins had what record?"
19766,"Which Cuts made has a Tournament of totals, and Wins smaller than 11?"
19767,Which Top-25 has a Top-5 smaller than 0?
19768,"Which Top-25 has a Top-5 larger than 9, and Wins smaller than 11?"
19769,"Which Top-5 is the highest one that has Wins of 0, and Events larger than 6?"
19770,"Which Top-5 is the lowest one that has Cuts made of 10, and Events larger than 10?"
19771,"Which Events is the highest one that has a Top-10 larger than 7, and Wins smaller than 2?"
19772,"When the surface is clay, and the tournament of barcelona what is the score?"
19773,"What was the surface when the opponent was judith wiesner, and the outcome was winner?"
19774,What is the opponent for the tournament of rio de janeiro?
19775,What is the opponent with the outcome of runner-up with a date of 19 september 1994?
19776,What was the opponent for the tournament of taranto?
19777,Who had the fastest lap where Joan Lascorz was the winner?
19778,Who won the round in Europe?
19779,"How many games have a Score of 3–0, and a January larger than 12?"
19780,"Which Opponent has a January larger than 8, and a Game smaller than 48, and a Score of 5–3?"
19781,Which Game is the highest that has a January of 28?
19782,"Which Score has a Game larger than 47, and a January smaller than 25?"
19783,What stroke has a max power of 109 ps(80kw)@4000 rpm?
19784,The nissan primera p12 nissan almera n16 has what C.R.?
19785,What displacement has the code yd22ddt?
19786,What code has a C.R of 16.7:1?
19787,What Outcome happened on a Date that was 20 november 2011?
19788,Which Away team has a Score of 0–3?
19789,Which Attendance has a Tie number of 5?
19790,"Which Score has an Attendance of 23 january 1999, and a Tie # of 6?"
19791,"Which Tie #has an Attendance of 54,591?"
19792,"Which Home team has a Score of 1–1, and an Away team of tottenham hotspur?"
19793,Which Attendance has a Tie # of 15?
19794,In what Year was the Position 11th?
19795,"What was the name of the Competition in Rome, Italy?"
19796,What Notes after 1983 have a Position of 18th?
19797,"After 1983, what was the Position in Seoul, South Korea?"
19798,How many Gold medals for the country with a Rank of 1 and less than 2 Total medals?
19799,How many Gold medals does the country with 2 Silver and more than 2 Bronze have?
19800,What is the Age of dorothy Peel as of 1 February 2014 ?
19801,"Who is 111years, 358days Age as of 1 February 2014?"
19802,"Which Capacity has a City of london, and a Stadium of queen's club?"
19803,"Which Rank has a Name of thomas morgenstern, and Points larger than 368.9?"
19804,"Which Rank has an Overall WC points (Rank) of 1561 (2), and a 1st (m) larger than 217?"
19805,"How much Rank has a Name of janne happonen, and a 1st (m) larger than 203.5?"
19806,"What is the lowest total for bronzes over 1, golds over 8, and fewer than 10 silvers?"
19807,What is the highest number of silvers for ranks over 7?
19808,Which location held a game against the Maryland Terrapins?
19809,Who was the opponent when the record recorded was 64-78?
19810,"When the record was 67-82, what was the final score recorded?"
19811,"Who was the opponent for the game played with 54,136 people in attendance?"
19812,Which position does bert coan play?
19813,What is round 1's position?
19814,Which Round is the highest one that has a Position of running back?
19815,"Which Position has a Pick smaller than 29, and a School/Club Team of arizona?"
19816,"Which Round is the lowest one that has a School/Club Team of alabama, and a Pick larger than 43?"
19817,what is the venue of belshina
19818,what is the venue of neman
19819,what is the venue of neman
19820,Name the total number of pick with round less than 6 and overall of 102
19821,Which Outcome has a Score of 4–6 3–6?
19822,Which Tournament has a Score of 3–6 6–4 4–6?
19823,Which Date has a Score of 6–1 7–6 (8–6)?
19824,Which Score has a Date of 26 september 2004?
19825,Which Outcome has a Score of 3–6 2–6?
19826,Which Surface has an Opponent in the final of daniella dominikovic?
19827,"What is the amount of time (sum) at 40° that it takes a 16 lb shell to reach a maximum of no more than 22,000 ft?"
19828,What is the average maximum height of a shell that travels for more than 16.3 seconds at 55° and has a maximum velocity of 2200 ft/s?
19829,What is the maximum amount of time a shell travels at 55° when it traveled less than 9.6 seconds at 40°?
19830,What is the weight of the shell that reached its maximum height at 40° in 12.6 seconds?
19831,What is the average maximum height of the shell smaller than 12.5 lb that reached its maximum height at 25° in 10.1 seconds?
19832,"What is the highest attendance for the game that was before week 6 on October 22, 1967?"
19833,"What is the state having a contestant with a talent of classical piano and a hometown from Lancaster, NY?"
19834,Whose talent was ballet en pointe?
19835,"What is the state represented by the contestant from Mesa, AZ?"
19836,"What is the talent of the contestant from Lexington, SC?"
19837,"What is the age of the contestant from Reno, NV?"
19838,Which writer wrote episode 18-09 (652)?
19839,What episode was written by jonathan lewis?
19840,What position does Maryland have a player for Round 3?
19841,How many picks are there for defensive back for rounds larger than 11?
19842,What is the highest game that has april 21 as the date?
19843,"What score has a game less than 4, and april 19 as the date?"
19844,"What opponent has a game less than 6, and april 17 as the date?"
19845,What is the home team that played Derby County as the away team?
19846,Which home team is ranked no. 7 by tie no.?
19847,What is the score for the game in which Manchester United was the home team?
19848,"How many golds does the nation having a rank of 8, fewer than 5 bronzes and more than 1 silver have?"
19849,What nation was the film from that was in english and had a Literary tradition of canadian literature?
19850,What is the literary traidtion for the film in english in 2011?
19851,What country was the film made in that was made after 2011?
19852,Which team has 48 rebounds?
19853,What's the lowest amount of 12 games and less than 48 rebounds?
19854,How many rebounds does Fedor likholitov have with a rank greater than 8?
19855,Which game has more than 112 rebounds and a rank greater than 3?
19856,What was the score in a place of t5 in the United States?
19857,"What is the to par that has more than $122,591 in Sweden and had Annika Sörenstam play?"
19858,What was the score for a match where Sophie Gustafson played?
19859,with games more than 22 what is the rebound total?
19860,What is the location of the b.c. open?
19861,"What is the location of the tallahassee open, with a Score of 269 (–19)?"
19862,What date did Lanny Wadkins (6) win?
19863,What is the Location for the buick-goodwrench open?
19864,What is the Netflix episode that has a series episode of 6-02?
19865,Which segment A item that has a Segment D of wigs?
19866,Which series episode has a Netflix episode of S03E16?
19867,Which Netflix episode has an overall episode number under 69 and a Segment D of S Trombone?
19868,"Which Species Specific has a Comparative of no, and an Intra-molecular structure of no, and a Link of sourcecode?"
19869,"Which Intra-molecular structure has a Comparative of no, and a Name of mitarget?"
19870,Which Comparative has a Name of pictar?
19871,"Which Name has an Intra-molecular structure of no, and a Link of webserver, and a Comparative of no?"
19872,Which Comparative has a Link of sourcecode webserver?
19873,Which Species Specific has a Link of server/sourcecode?
19874,What is the 1st leg for Instituto?
19875,"What Aggregate has a 2-1 1st leg, and is from Belgrano?"
19876,"What Aggregate has a 0-0 1st leg, and a 0-1 second leg?"
19877,"What aggregate has a 0-0 1st leg, and is from Instituto?"
19878,What is the home of aggregate's 3-4?
19879,What round did the fight against Sofia Bagherdai go to?
19880,What was the method of fight completion for the Mars: Attack 1 event?
19881,what had a score of 70-71-68-72=281?
19882,what had a score like roberto devicenzo
19883,What was the total number who attended during week 11?
19884,What was the total number of weeks with a result of l 31-21?
19885,"What was the average week of a game attended by 12,985 with a result of W 38-14?"
19886,Which 2003 has a 2012 of 1–4?
19887,Which 2007 has a 2008 of 0 / 4?
19888,"Which 2007 has a 2003 of 2r, and a 2004 of 1r?"
19889,Which 2010 has a 2009 of 0 / 4?
19890,"Which 2011 has a 1999 of A, and a 2004 of 2r, and a Career SR of 0 / 10?"
19891,Which 2005 has a 1999 of 0–0?
19892,what is the date of week 7
19893,Who was the visitor in the game that led to a 39-20-6 record?
19894,What was the date of the game that led to a 48-21-6 record?
19895,Name the average attendance from june 11
19896,What is south africa's margin of victory?
